extractor,activation_function,optimizer,seq_len,model,accuracy,time,f1,recall,precision
MobileNetV2Extractor,sigmoid,sgd,50,gru2,0.5715028643608093,47.660011529922485,0.428439698429559,0.5821808510638298,0.3389345433454052
MobileNetV2Extractor,sigmoid,sgd,50,lstm1,0.9951464533805847,29.736671209335327,0.9917239981939899,0.9917553191489362,0.9920252083848211
MobileNetV2Extractor,sigmoid,sgd,50,lstm2,0.5715028643608093,58.17246437072754,0.428439698429559,0.5821808510638298,0.3389345433454052
MobileNetV2Extractor,sigmoid,adagrad,10,gru1,0.5715028643608093,28.001208782196045,0.36045613461194664,0.5090625,0.5394143667540932
MobileNetV2Extractor,sigmoid,adagrad,10,gru2,0.5715028643608093,46.54013919830322,0.32451699785317834,0.49203125,0.2420947509765625
MobileNetV2Extractor,sigmoid,adagrad,10,lstm1,0.5715028643608093,29.734375953674316,0.32451699785317834,0.49203125,0.2420947509765625
MobileNetV2Extractor,sigmoid,adagrad,10,lstm2,0.5715028643608093,53.59374928474426,0.32451699785317834,0.49203125,0.2420947509765625
MobileNetV2Extractor,sigmoid,adagrad,20,gru1,0.5715028643608093,27.9064359664917,0.3812144015617802,0.5259581881533101,0.5468762106930889
MobileNetV2Extractor,sigmoid,adagrad,20,gru2,0.5715028643608093,46.81249952316284,0.3409099277554393,0.506794425087108,0.2568405892993723
MobileNetV2Extractor,sigmoid,adagrad,20,lstm1,0.5715028643608093,29.671874046325684,0.3409099277554393,0.506794425087108,0.2568405892993723
MobileNetV2Extractor,sigmoid,adagrad,20,lstm2,0.5715028643608093,53.45312023162842,0.3409099277554393,0.506794425087108,0.2568405892993723
MobileNetV2Extractor,sigmoid,adagrad,50,gru1,0.5715028643608093,27.90624976158142,0.46383993590849243,0.5986702127659574,0.58823407995121
MobileNetV2Extractor,sigmoid,adagrad,50,gru2,0.5715028643608093,46.62499713897705,0.428439698429559,0.5821808510638298,0.3389345433454052
MobileNetV2Extractor,sigmoid,adagrad,50,lstm1,0.5715028643608093,29.562500953674316,0.428439698429559,0.5821808510638298,0.3389345433454052
MobileNetV2Extractor,sigmoid,adagrad,50,lstm2,0.5715028643608093,53.39062523841858,0.428439698429559,0.5821808510638298,0.3389345433454052
