extractor,activation_function,optimizer,seq_len,model,accuracy,time,f1,recall,precision
InceptionExtractor,tanh,adagrad,50,gru1,0.5314013957977295,12.542942142486572,0.44806134518898744,0.4659714599341383,0.7135162789626764
InceptionExtractor,tanh,adagrad,50,gru2,0.6352096199989319,16.038583993911743,0.5677169828621241,0.5616538602268569,0.6887513925858505
InceptionExtractor,tanh,adagrad,50,lstm1,0.5691498517990112,11.912777018547057,0.4698899093288528,0.5142700329308453,0.4619688337637269
InceptionExtractor,tanh,adagrad,50,lstm2,0.6678637266159058,16.997658133506775,0.7167944988658335,0.7151481888035126,0.7515340161553534
InceptionExtractor,sigmoid,adam,10,gru1,0.5116084814071655,12.204948568344117,0.4057040750532266,0.461827728111253,0.41232966377973285
InceptionExtractor,sigmoid,adam,10,gru2,0.18398195505142212,18.290416288375855,0.04439190964013658,0.16049382716049382,0.025758268556622464
InceptionExtractor,sigmoid,adam,10,lstm1,0.5111908912658691,12.01599054336548,0.4324935565377482,0.477295302965801,0.43221011567383383
InceptionExtractor,sigmoid,adam,10,lstm2,0.18398195505142212,21.54771556854248,0.04439190964013658,0.16049382716049382,0.025758268556622464
InceptionExtractor,sigmoid,adam,20,gru1,0.49799564480781555,12.514201140403747,0.46014544007274333,0.5128205128205128,0.4513271094190377
InceptionExtractor,sigmoid,adam,20,gru2,0.18398195505142212,18.938804817199706,0.04598608395915883,0.16356628121334005,0.026753928349961435
InceptionExtractor,sigmoid,adam,20,lstm1,0.47051945328712463,12.331273293495178,0.40040467469522967,0.4347243170772582,0.3976031714483418
InceptionExtractor,sigmoid,adam,20,lstm2,0.18398195505142212,21.369629120826723,0.04598608395915883,0.16356628121334005,0.026753928349961435
InceptionExtractor,sigmoid,adam,50,gru1,0.4894771873950958,12.327303314208985,0.3440617216075555,0.4387120380534211,0.3053504304647349
InceptionExtractor,sigmoid,adam,50,gru2,0.18398195505142212,18.387942099571227,0.05965020800429951,0.18825466520307355,0.03543981897072131
InceptionExtractor,sigmoid,adam,50,lstm1,0.5090195536613464,11.962278652191163,0.3922852834346268,0.45115257958287597,0.3785597733461471
InceptionExtractor,sigmoid,adam,50,lstm2,0.18398195505142212,21.651971960067748,0.05965020800429951,0.18825466520307355,0.03543981897072131
InceptionExtractor,sigmoid,sgd,10,gru1,0.37948888540267944,12.308241271972657,0.2855748810128914,0.3632751525471832,0.41709678844307063
InceptionExtractor,sigmoid,sgd,10,gru2,0.3297978937625885,18.186339855194092,0.2529156966191679,0.32425145451965376,0.260269817879081
InceptionExtractor,sigmoid,sgd,10,lstm1,0.41097378730773926,12.672675132751465,0.34759672883563597,0.41450262523059456,0.3698657207763801
InceptionExtractor,sigmoid,sgd,10,lstm2,0.3130115270614624,22.602695655822753,0.190101864977821,0.27962253441180646,0.17739858539874215
InceptionExtractor,sigmoid,sgd,20,gru1,0.37948888540267944,13.746936106681824,0.2744587243053728,0.34699178816825876,0.38299787347282466
InceptionExtractor,sigmoid,sgd,20,gru2,0.3297978937625885,19.252434825897218,0.23543949502147035,0.30718954248366015,0.2604692841848761
InceptionExtractor,sigmoid,sgd,20,lstm1,0.4138132631778717,12.76513705253601,0.3534488518830937,0.426596279537456,0.3718898225738545
InceptionExtractor,sigmoid,sgd,20,lstm2,0.3130115270614624,23.133082485198976,0.1916177712270641,0.27911848500083797,0.17952966420502103
InceptionExtractor,sigmoid,sgd,50,gru1,0.37948888540267944,13.176613306999206,0.25145892008771853,0.30332967435053054,0.4085768578877453
InceptionExtractor,sigmoid,sgd,50,gru2,0.3297978937625885,20.00357804298401,0.22264661530606278,0.2857665568971826,0.254196839128485
InceptionExtractor,sigmoid,sgd,50,lstm1,0.3774010241031647,13.403246974945068,0.31388763190401414,0.40541529454811565,0.4493271343899497
InceptionExtractor,sigmoid,sgd,50,lstm2,0.3130115270614624,21.402587962150573,0.20533197751497012,0.27588730332967437,0.19771511903734035
InceptionExtractor,sigmoid,adagrad,10,gru1,0.3461667001247406,12.996677255630493,0.24867454109061166,0.37640130552007944,0.21484207591666354
InceptionExtractor,sigmoid,adagrad,10,gru2,0.2781025469303131,17.30482084751129,0.14327775705690854,0.26855399460763446,0.10023465015630618
InceptionExtractor,sigmoid,adagrad,10,lstm1,0.3461667001247406,13.04508421421051,0.2501376091306406,0.3781751099758763,0.2169378920419672
InceptionExtractor,sigmoid,adagrad,10,lstm2,0.18398195505142212,19.111594080924988,0.04439190964013658,0.16049382716049382,0.025758268556622464
InceptionExtractor,sigmoid,adagrad,20,gru1,0.3461667001247406,12.402768850326538,0.2544522905900166,0.3827719121836769,0.21980203423774958
InceptionExtractor,sigmoid,adagrad,20,gru2,0.2781025469303131,17.286222958564757,0.15181679706402848,0.27995642701525053,0.10632830902134863
InceptionExtractor,sigmoid,adagrad,20,lstm1,0.3461667001247406,13.207617855072021,0.25597951968791904,0.38461538461538464,0.2219841869210733
InceptionExtractor,sigmoid,adagrad,20,lstm2,0.18398195505142212,21.059452176094055,0.04610561457450393,0.16356628121334005,0.026834878208811547
InceptionExtractor,sigmoid,adagrad,50,gru1,0.3461667001247406,12.522765493392944,0.30006127480619715,0.43121112330772043,0.2588119924314488
InceptionExtractor,sigmoid,adagrad,50,gru2,0.2781025469303131,18.223698353767396,0.1922332626593457,0.32363702890596413,0.14002620579580427
InceptionExtractor,sigmoid,adagrad,50,lstm1,0.3461667001247406,12.973069143295287,0.30318556039519545,0.43487010611050125,0.2631786260647397
InceptionExtractor,sigmoid,adagrad,50,lstm2,0.18398195505142212,20.265324807167055,0.059991963609155374,0.18825466520307355,0.03568135024755253
